dataset,model,condition,metric,repetitions,mean,sd,empirical_low,empirical_high,mean_denominator_n
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,accuracy,30,0.18405552535056266,0.013125395988802094,0.16485887096774193,0.21084337349397592,497.1333333333333
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,beneficial_revision,30,0.0,0.0,0.0,0.0,153.5
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,change_rate,30,0.6693083084039599,0.0184366131922747,0.6355923694779116,0.6970378723956643,497.1333333333333
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,conformity_rate,30,0.7331368700489547,0.01991434693133949,0.6888058035714286,0.7643126498057691,444.73333333333335
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,harmful_conformity,30,0.7217413689916766,0.02051655190395334,0.6809343465802915,0.7500537288717818,343.6333333333333
MMLU,microsoft/Phi-3.5-mini-instruct,exp2,target_adoption,30,0.7594212271202209,0.017534404368565695,0.7198627844712182,0.7879963954056696,497.1333333333333
MMLU,microsoft/Phi-3.5-mini-instruct,exp3,accuracy,30,0.44408771512588374,0.013296224624036544,0.4214569160997732,0.4674820594837963,492.26666666666665
MMLU,microsoft/Phi-3.5-mini-instruct,exp3,beneficial_revision,30,0.023617313643618274,0.008900634974776044,0.006777610373008263,0.03821375372393247,152.26666666666668
MMLU,microsoft/Phi-3.5-mini-instruct,exp3,change_rate,30,0.35710242421390426,0.01457123630034596,0.3404023194643711,0.3879267473118279,492.26666666666665
MMLU,microsoft/Phi-3.5-mini-instruct,exp3,conformity_rate,30,0.31630681264276655,0.015972241818859017,0.29641086046429416,0.3494597638334167,440.8333333333333
MMLU,microsoft/Phi-3.5-mini-instruct,exp3,harmful_conformity,30,0.2971618710694657,0.017705717140352403,0.2709525113770437,0.342156432748538,340
MMLU,microsoft/Phi-3.5-mini-instruct,exp3,target_adoption,30,0.3709113745071755,0.016361548295090178,0.34702065456912956,0.40000566893424033,492.26666666666665
MMLU,microsoft/Phi-3.5-mini-instruct,exp4,accuracy,30,0.4054273323523401,0.015263571057852265,0.38259248429716264,0.43035478037507624,481.7
MMLU,microsoft/Phi-3.5-mini-instruct,exp4,beneficial_revision,30,0.052678726102530056,0.011737757357425641,0.031595163083765754,0.07442288178589548,151.6
MMLU,microsoft/Phi-3.5-mini-instruct,exp4,change_rate,30,0.42054802166282684,0.018351743335051306,0.37995635098503766,0.44427855426949114,481.7
MMLU,microsoft/Phi-3.5-mini-instruct,exp4,conformity_rate,30,0.3900971631666954,0.01899942589551483,0.34865378316410084,0.4218520581442739,430.3
MMLU,microsoft/Phi-3.5-mini-instruct,exp4,harmful_conformity,30,0.371660814676666,0.019624689777465072,0.33220372361129136,0.4032030182027484,330.1
MMLU,microsoft/Phi-3.5-mini-instruct,exp4,target_adoption,30,0.4419227941223898,0.018047660277561127,0.41025385790844326,0.4745280485163526,481.7
